complaint_text,product_area,root_cause_label,capa_summary
"Incoming batch of steel fasteners failed tensile strength testing — 23% below spec tolerance. Supplier lot #BT-4421.",Fasteners,supplier_defect,"Issued SCAR to supplier. Quarantined remaining lot. Added incoming tensile test to sampling plan."
"Rubber O-rings received from vendor showed visible surface cracks before installation. Entire shipment rejected.",Sealing Components,supplier_defect,"Returned shipment to supplier. Requested root cause report within 14 days. Added visual inspection at dock."
"PCB boards from Supplier B have incorrect trace routing — does not match approved Gerber files revision 3.2.",Electronics,supplier_defect,"Quarantined 500 boards. Issued deviation report. Supplier re-qualified with updated Gerber file verification step."
"Adhesive bonding agent received with expired shelf life — 3 months past use-by date on 40% of containers.",Adhesives,supplier_defect,"Rejected lot. Updated purchasing PO to require min 6-month shelf life at delivery. Supplier issued credit."
"Aluminum extrusion profiles from Supplier C show out-of-tolerance wall thickness — 0.8mm vs 1.0mm spec.",Structural Components,supplier_defect,"Held shipment for MRB review. 60% scrapped. Supplier added in-process gauge check per extrusion run."
"Injection molded connector housings have flash exceeding 0.3mm on parting line. Supplier process unstable.",Connectors,supplier_defect,"Issued CAR to supplier. Required process capability study (Cpk > 1.33). Temporary 100% inspection at incoming."
"Vendor-supplied labels have incorrect UL certification marking — wrong file number printed on 10,000 labels.",Labeling,supplier_defect,"Quarantined all labeled product. Supplier reprinting with correct UL file number. Added label artwork approval step."
"Capacitors from Supplier D failing at 80% of rated voltage during burn-in testing. Failure rate at 12%.",Electronics,supplier_defect,"Switched to qualified alternate supplier. Submitted PPAP requirement for all passive components."
"Raw resin pellets contaminated with metallic particles — found during routine incoming QC sieve test.",Plastics,supplier_defect,"Rejected 2 pallets. Supplier found contamination from shared equipment. Dedicated resin line implemented at supplier."
"Stainless steel tubing received with surface pitting visible to naked eye. Does not meet Ra 0.8 surface finish spec.",Tubing,supplier_defect,"Returned full shipment. Supplier added post-production electropolishing step. Re-qualified with 3 consecutive clean lots."
"Powder coating applied 15 microns below minimum thickness spec on batch #PC-0892. Color also shows visible variation.",Surface Finishing,supplier_defect,"Supplier recalibrated spray guns. Implemented per-batch film thickness recording. Reworked affected batch."
"Thermocouple wire from vendor reads 4°C high at calibration check — exceeds ±1.5°C accuracy requirement.",Sensors,supplier_defect,"Quarantined wire lot. Vendor traced to incorrect alloy composition. Added certificate of conformance verification per spool."
"Heat treatment cycle ran 45 minutes shorter than qualified process window — operator skipped final soak phase.",Heat Treatment,process_deviation,"Retrained operator on full cycle procedure. Added PLC interlock preventing door open before soak timer completes."
"Mixing tank temperature exceeded upper control limit by 8°C for 12 minutes during Batch #MX-3301.",Chemical Processing,process_deviation,"Batch placed on hold for QA review. Thermostat replaced. Added high-temp alarm with auto-shutoff to mixing controller."
"Assembly line torque station not performing mid-shift verification per SOP — 4 hours of production unverified.",Assembly,process_deviation,"Quarantined 4 hours of output. Implemented digital torque verification reminder with line lockout after 2-hour gap."
"Cleanroom particle count exceeded Class 1000 limits during second shift. HVAC filter differential pressure was high.",Cleanroom Operations,process_deviation,"Replaced HEPA filters. Product exposure assessment done — 3 lots held for additional testing. Added daily DP check to logbook."
"Soldering wave machine temperature drifted 15°C above setpoint for 20 minutes — PCBs may have thermal damage.",Electronics Assembly,process_deviation,"Segregated affected boards for X-ray inspection. Replaced faulty thermocouple in wave machine. Added redundant temp sensor."
"CNC lathe feed rate set to 120% override during night shift — not authorized per process sheet. Parts show tool marks.",Machining,process_deviation,"Scrapped 45 parts. Removed operator override capability above 100%. Night shift supervisor counseled."
"Wrong flux concentration used in solder bath — 2.8% vs required 3.5%. Discovered during weekly titration check.",Electronics Assembly,process_deviation,"Evaluated 5 days of production for cold solder joints. 2% rework rate found. Automated flux concentration monitoring installed."
"Painting booth humidity was 78% during application — spec requires <65%. Paint adhesion failures on 30 units.",Surface Finishing,process_deviation,"Stripped and repainted affected units. Installed humidity interlock — line auto-stops above 65% RH."
"Autoclave sterilization cycle showed 2-minute pressure drop during hold phase — biological indicator not checked.",Sterilization,process_deviation,"Entire load quarantined. BI testing done retroactively — passed. Added pressure transducer alarm for hold phase deviation."
"Anodizing bath pH measured at 1.8 — process window is 1.2–1.5. Operator did not check before running parts.",Surface Treatment,process_deviation,"Scrapped 200 anodized parts. Implemented mandatory pre-batch pH check with sign-off in batch record."
"Welding gas flow rate found at 8 L/min instead of required 15 L/min. Porosity detected in weld X-rays.",Welding,process_deviation,"Cut out and rewelded affected joints. Flow meter recalibrated. Added pre-weld gas flow verification to setup checklist."
"Cure oven conveyor speed set 20% faster than validated parameter. Adhesive bonds failing pull test.",Adhesive Bonding,process_deviation,"Segregated and retested all product from shift. 40% failed — scrapped. Speed control locked to validated setting."
"Hydraulic press #3 failed mid-cycle — lost pressure at 80% of required forming force. 15 parts deformed.",Stamping,equipment_failure,"Replaced failed hydraulic pump seal. Parts scrapped. Added predictive maintenance oil analysis schedule for all presses."
"CNC spindle bearing seized during production run. Tool crashed into workpiece. 3 parts destroyed.",Machining,equipment_failure,"Replaced spindle bearing assembly. Implemented vibration monitoring system with threshold alerts. Added weekly grease schedule."
"Conveyor belt motor overheated and tripped breaker on Line 2. 45 minutes downtime, 12 WIP parts damaged from stoppage.",Assembly,equipment_failure,"Replaced motor with higher-rated unit. Added thermal monitoring to all conveyor motors. Damaged WIP scrapped."
"Vision inspection camera on Station 5 giving false accepts — calibration target check failing. Unknown duration.",Quality Inspection,equipment_failure,"Quarantined 2 shifts of output for manual re-inspection. Camera replaced. Added hourly calibration target verification."
"Robotic welding arm #7 lost positional accuracy — welds shifted 3mm from joint centerline. Found during patrol inspection.",Welding,equipment_failure,"Re-homed robot. Replaced worn gear in axis 3. Added weekly positional accuracy check with calibration fixture."
"Air compressor delivering 85 PSI instead of required 100 PSI. Pneumatic actuators underperforming on press line.",Pneumatics,equipment_failure,"Replaced intake valve on compressor. 2 hours of underpressure production quarantined for dimensional check. Added inline pressure gauge alarm."
"Laser marking system producing illegible date codes on product. Lens contamination suspected — last cleaned 6 weeks ago.",Marking,equipment_failure,"Cleaned lens and recalibrated. Implemented weekly lens inspection schedule. Remarked 2 days of production."
"Temperature data logger in cold storage failed — 3 days of product storage without verified temperature record.",Storage,equipment_failure,"Installed backup data logger. Product evaluated with external temp indicator — accepted. Added daily logger function verification."
"Coordinate measuring machine (CMM) probe tip cracked. Last 2 days of measurements potentially inaccurate.",Quality Inspection,equipment_failure,"Replaced probe tip. Recalled and remeasured last 200 parts — 5 out of spec found. Added daily probe tip visual check."
"Ultrasonic welding horn showing wear — weld energy output dropped 20%. Joint strength below minimum on pull tests.",Welding,equipment_failure,"Replaced horn. Retested last 500 joints — 8% below spec, scrapped. Added horn amplitude measurement every 5000 cycles."
"PLC on Assembly Line 4 intermittently resetting — losing recipe parameters. Operators re-entering values manually.",Controls,equipment_failure,"Replaced PLC power supply unit. Added battery backup. Implemented recipe lockout preventing manual parameter entry."
"Label printer thermal head degraded — barcodes failing verification scan at 60% read rate. Should be >98%.",Labeling,equipment_failure,"Replaced thermal head. Reprinted affected labels. Added barcode verification scanner inline after printer."
"Operator assembled left-hand bracket in right-hand orientation — 50 units built before caught at final inspection.",Assembly,human_error,"Reworked 50 units. Added poka-yoke fixture that only accepts correct bracket orientation. Updated work instruction with photos."
"Wrong revision of drawing used on shop floor — Rev C instead of current Rev E. 25 parts machined to old dimensions.",Machining,human_error,"Scrapped 25 parts. Implemented digital drawing system with auto-revision control. Paper copies no longer authorized."
"Operator loaded incorrect program on CNC machine — Part #A vs Part #B. 12 parts machined wrong before detection.",Machining,human_error,"Scrapped 12 parts. Added barcode scan verification — machine won't start unless scanned program matches work order."
"Solder paste stencil for Product X used on Product Y assembly. Wrong pad pattern — 100 boards affected.",Electronics Assembly,human_error,"Scrapped 100 boards. Color-coded stencils by product. Added stencil ID barcode scan verification before printing."
"Packaging operator used wrong box size — product damaged during shipping due to insufficient cushioning.",Packaging,human_error,"Replaced damaged units for customer. Updated packaging BOM on work order. Added box size verification at pack station."
"Calibration sticker shows due date of 2024-03-15 but gauge was used until 2024-04-02 — 18 days overdue.",Quality Inspection,human_error,"Recalled all measurements taken with overdue gauge. Re-inspected 300 parts. Implemented automated calibration tracking system with email alerts."
"Operator mixed two chemical batches that required different cure times — combined batch has unknown properties.",Chemical Processing,human_error,"Entire batch disposed of. Separate locked storage for different formulations implemented. Dual sign-off on batch ticket."
"Shipping department sent product to wrong customer — Customer A received Customer B's order. Confidentiality concern.",Shipping,human_error,"Retrieved shipment from Customer A. Implemented barcode-verified shipping label system matching order to customer address."
"Welder used wrong filler wire specification — ER308L instead of required ER316L. Corrosion resistance compromised.",Welding,human_error,"Cut and rewelded all affected joints. Separate clearly-labeled storage for each filler wire type. Added wire ID to weld log."
"Operator bypassed safety interlock on stamping press to increase throughput — near-miss incident reported.",Stamping,human_error,"Operator retrained and written warning issued. Interlock system upgraded to non-bypassable design. Safety stand-down meeting held."
"QC inspector signed off on first article inspection but measurement records show dimensions were not actually checked.",Quality Inspection,human_error,"Inspector removed from FAI duties pending retraining. All recent FAIs by this inspector re-performed. Added digital data capture requirement."
"Night shift operator forgot to log material lot numbers in batch record — traceability broken for 8 hours of production.",Documentation,human_error,"Product held until traceability reconstructed from inventory records. Implemented barcode scanning for material lot entry — eliminates manual logging."
"Technician replaced sensor with wrong part number — similar form factor but different measurement range.",Maintenance,human_error,"Replaced with correct sensor. Reviewed all maintenance since install — 2 false readings found. Added part number verification in CMMS work order."
"Wall thickness of pressure vessel consistently at minimum tolerance boundary — no safety margin for manufacturing variation.",Pressure Vessels,design_issue,"Initiated design review. Wall thickness increased from 3.0mm to 3.5mm. Updated drawing and re-qualified with burst test."
"Snap-fit retention clips on enclosure failing during thermal cycling — insufficient allowance for CTE mismatch between materials.",Enclosures,design_issue,"Redesigned clip geometry with increased deflection allowance. Changed clip material to match housing CTE. Validated with 500-cycle thermal test."
"Wire routing in harness assembly creates sharp bend radius at connector exit — field failures from conductor fatigue.",Wiring,design_issue,"Rerouted harness with minimum 4x wire diameter bend radius. Added strain relief grommet at connector interface."
"Gasket groove dimensions don't account for O-ring compression set over time — leaks developing after 6 months in field.",Sealing Components,design_issue,"Redesigned groove to provide 25% compression instead of 15%. Switched to lower compression-set compound. Field retrofit kit issued."
"Mounting boss on plastic housing cracking during screw insertion — boss wall too thin for self-tapping screw torque.",Enclosures,design_issue,"Increased boss wall thickness from 1.5mm to 2.5mm. Added brass insert option for high-torque applications. Updated assembly torque spec."
"PCB trace width insufficient for actual current load — trace heating observed during extended operation testing.",Electronics,design_issue,"Widened affected traces per IPC-2221 calculator. Added thermal relief pads. Respin PCB layout — Rev D released."
"Cooling fin spacing too tight for manufacturing process — die cast fins breaking during demolding. 15% scrap rate.",Thermal Management,design_issue,"Increased fin spacing from 1.5mm to 2.5mm. Accepted 8% reduction in thermal performance. Scrap rate dropped to 1%."
"Tolerance stack-up analysis shows interference fit possible at worst-case — assembly line reporting 5% force-fit rejections.",Mechanical Assembly,design_issue,"Revised tolerances using statistical approach. Opened clearance by 0.1mm. Interference rate dropped to 0.1%."
"Test points on PCB inaccessible after final assembly — QC cannot perform in-circuit test on finished product.",Electronics,design_issue,"Relocated test points to board edge accessible through housing slot. Added bed-of-nails test fixture compatibility."
"Drain port location on enclosure allows water pooling in corner — field corrosion complaints from outdoor installations.",Enclosures,design_issue,"Relocated drain to lowest point of enclosure floor. Added sloped internal floor profile. Retrofit drain kit for installed base."
"Cable gland entry point too close to high-voltage terminals — fails creepage distance requirement per IEC 61010.",Enclosures,design_issue,"Relocated cable gland entry 40mm further from terminals. Added internal insulating barrier. Submitted for re-certification."
"Thread engagement depth on aluminum housing insufficient — bolts stripping during service torque application.",Mechanical Assembly,design_issue,"Increased boss depth by 5mm. Changed from M4 to M5 fastener. Added helicoil inserts for aluminum threads."
"Ventilation louvers in enclosure positioned where water ingress occurs during angled rain — IP65 rating compromised.",Enclosures,design_issue,"Added internal rain baffle behind louvers. Redesigned louver angle to 45° downward. Retested to IP65 — passed."
"Bearing journal diameter tolerance too tight for standard bearing — requiring selective assembly which slows production.",Rotating Equipment,design_issue,"Opened journal tolerance from h6 to h7. Validated with bearing manufacturer. Eliminated selective assembly requirement."
"Thermal pad compound between heatsink and IC has insufficient coverage area in current design — junction temps 12°C above target.",Thermal Management,design_issue,"Enlarged thermal pad footprint by 40%. Switched to higher conductivity TIM (6 W/mK). Junction temp now 5°C below limit."
"Weld joint on bracket cracked during vibration testing but passed static load test — fatigue life not considered in design.",Structural Components,design_issue,"Redesigned joint with gusset reinforcement. Added fatigue analysis requirement to design review checklist. Revalidated to 10^7 cycles."
"Metal shavings found inside assembled gearbox — unclear if from machining debris (process) or gear teeth damage (supplier). Customer returned unit after noise complaint.",Gearbox Assembly,ambiguous,"Disassembled and cleaned unit. Root cause inconclusive — could be insufficient cleaning after machining or supplier gear quality. Added both blowout cleaning step AND incoming gear inspection."
"Coating peeling off connector pins after 2 weeks in field. Could be plating adhesion issue from supplier or contamination during our assembly process.",Connectors,ambiguous,"Sent samples to metallurgical lab. Both supplier plating process and our flux residue are possible causes. Implemented supplier plating adhesion test AND post-solder cleaning verification."
"Intermittent sensor readings on final test — sometimes passes, sometimes fails. Sensor is vendor-supplied but our cable routing runs near high-EMI motor. Hard to determine if sensor defective or EMI interference from layout.",Sensors,ambiguous,"Replaced sensor — problem persists intermittently. Added ferrite choke to cable. Issue reduced but not eliminated. Root cause split between sensor sensitivity (supplier) and cable routing (design). Redesigning cable path AND qualifying higher-EMI-tolerance sensor."
"Plastic enclosure warping after 6 months in field — could be residual stress from molding process (supplier), insufficient wall thickness (design), or environmental exposure beyond rated conditions (customer misuse).",Enclosures,ambiguous,"Field analysis inconclusive. Supplier molding parameters within spec. Design meets indoor rating but units installed outdoors. Issuing design change for UV-stabilized resin AND adding installation environment requirements to product manual."
"Assembly screws loosening in field — torque was applied per spec during production. Possible causes: screw quality (supplier), vibration beyond design envelope (design), or inconsistent torque application (human/equipment).",Mechanical Assembly,ambiguous,"Torque audit shows some guns at low end of range. Screw hardness meets spec. Vibration test borderline. Implementing thread-locking compound (design fix), tightened torque gun calibration interval (process fix), AND added incoming screw Rockwell hardness check (supplier fix)."
"Customer reports burnt smell from power supply unit. Inspection shows discoloration on PCB near voltage regulator. Could be component rated too low (design), counterfeit component from supplier, or solder bridge from assembly process.",Electronics,ambiguous,"Sent board to failure analysis lab. Solder joints look acceptable. Component markings match BOM but internal die structure not verified. Adding component authentication testing (supplier), thermal simulation review (design), AND AOI coverage for solder bridges near regulators (process)."